card_name,set_name,number,release_date,recent_price,old_price,trend_pct,recent_volume,avg_volume,volatility,profit_margin,roi_pct,buy_price,label
Naclstack 083/132,,,,0.1,0.0,0,53,1.9230769230769231,3033.333333333333,-99.0,-99.0,10.0,HOLD
Garganacl 084/132,,,,0.06,0.0,0,46,1.8461538461538463,3466.666666666667,-99.4,-99.4,10.0,HOLD
Mega Absol ex 086/132,,,,0.73,0.0,0,525,21.134615384615383,3956.1728395061727,-92.69999999999999,-92.69999999999999,10.0,HOLD
Spiritomb 087/132,,,,0.06,0.0,0,60,2.75,2971.428571428571,-99.4,-99.4,10.0,HOLD
Yveltal 088/132,,,,0.11,0.0,0,192,8.25,3661.9718309859154,-98.9,-98.9,10.0,HOLD
Nickit 089/132,,,,0.1,0.0,0,32,1.1538461538461537,3033.333333333333,-99.0,-99.0,10.0,HOLD
Thievul 090/132,,,,0.16,0.0,0,35,1.2307692307692308,3687.2727272727275,-98.4,-98.4,10.0,HOLD
Shroodle 091/132,,,,0.11,0.0,0,41,1.4615384615384615,3010.5263157894738,-98.9,-98.9,10.0,HOLD
Grafaiai 092/132,,,,0.11,0.0,0,36,1.4423076923076923,2600.0,-98.9,-98.9,10.0,HOLD
Steelix 093/132,,,,0.07,0.0,0,78,2.826923076923077,2925.0,-99.3,-99.3,10.0,HOLD
Mega Mawile ex 094/132,,,,0.65,0.0,0,521,22.01923076923077,4121.3622291021675,-93.5,-93.5,10.0,HOLD
Dialga 095/132,,,,0.1,0.0,0,72,2.5576923076923075,2888.888888888889,-99.0,-99.0,10.0,HOLD
Tinkatink 096/132,,,,0.08,0.0,0,43,1.7307692307692308,3714.2857142857147,-99.2,-99.2,10.0,HOLD
Tinkatuff 097/132,,,,0.07,0.0,0,56,2.1538461538461537,2925.0,-99.3,-99.3,10.0,HOLD
Tinkaton 098/132,,,,0.11,0.0,0,41,1.7307692307692308,4159.999999999999,-98.9,-98.9,10.0,HOLD
Gholdengo 099/132,,,,0.17,0.0,0,42,1.4038461538461537,2678.7878787878785,-98.3,-98.3,10.0,HOLD
Mega Latias ex 100/132,,,,0.78,0.0,0,578,22.73076923076923,4067.0391061452515,-92.2,-92.2,10.0,HOLD
Latios 101/132,,,,0.09,0.0,0,98,4.115384615384615,2736.8421052631584,-99.1,-99.1,10.0,HOLD
Spearow 102/132,,,,0.22,0.0,0,36,1.2115384615384615,2860.0,-97.8,-97.8,10.0,HOLD
Fearow 103/132,,,,0.12,0.0,0,47,1.6153846153846154,2800.0000000000005,-98.80000000000001,-98.80000000000001,10.0,HOLD
Mega Kangaskhan ex 104/132,,,,1.35,0.0,0,695,28.326923076923077,3782.6887661141805,-86.5,-86.5,10.0,HOLD
Delibird 105/132,,,,0.14,0.0,0,33,1.3076923076923077,2600.0,-98.6,-98.6,10.0,HOLD
Miltank 106/132,,,,0.05,0.0,0,35,1.25,3342.857142857142,-99.49999999999999,-99.49999999999999,10.0,HOLD
Buneary 107/132,,,,0.04,0.0,0,47,1.6538461538461537,2600.0,-99.60000000000001,-99.60000000000001,10.0,HOLD
Lopunny 108/132,,,,0.24,0.0,0,44,1.5,2713.0434782608695,-97.6,-97.6,10.0,HOLD
Yungoos 109/132,,,,0.06,0.0,0,54,2.2115384615384617,2600.0,-99.4,-99.4,10.0,HOLD
Gumshoos 110/132,,,,0.14,0.0,0,52,1.8269230769230769,2773.3333333333326,-98.6,-98.6,10.0,HOLD
Stufful 111/132,,,,0.15,0.0,0,39,1.4038461538461537,2836.3636363636365,-98.5,-98.5,10.0,HOLD
Bewear 112/132,,,,0.24,0.0,0,43,1.2884615384615385,2773.333333333334,-97.6,-97.6,10.0,HOLD
Acerola's Mischief 113/132,,,,0.16,0.0,0,245,9.942307692307692,3981.25,-98.4,-98.4,10.0,HOLD
Boss's Orders 114/132,,,,0.19,0.0,0,267,9.134615384615385,2822.857142857143,-98.10000000000001,-98.10000000000001,10.0,HOLD
Energy Switch 115/132,,,,0.13,0.0,0,81,2.5,2704.0,-98.69999999999999,-98.69999999999999,10.0,HOLD
Fighting Gong 116/132,,,,0.36,0.0,0,764,33.03846153846154,2587.0646766169157,-96.4,-96.4,10.0,HOLD
Forest of Vitality 117/132,,,,0.56,0.0,0,674,29.807692307692307,3056.869009584665,-94.39999999999999,-94.39999999999999,10.0,HOLD
Iron Defender 118/132,,,,0.09,0.0,0,128,6.538461538461538,4291.26213592233,-99.1,-99.1,10.0,HOLD
Lillie's Determination 119/132,,,,1.62,0.0,0,1478,60.42307692307692,3071.140939597315,-83.79999999999998,-83.79999999999998,10.0,HOLD
Lt. Surge's Bargain 120/132,,,,0.12,0.0,0,160,6.365384615384615,2800.0000000000005,-98.80000000000001,-98.80000000000001,10.0,HOLD
Mega Signal 121/132,,,,0.13,0.0,0,271,12.923076923076923,4741.641337386018,-98.69999999999999,-98.69999999999999,10.0,HOLD
Mystery Garden 122/132,,,,0.29,0.0,0,122,4.9423076923076925,3924.528301886792,-97.10000000000001,-97.10000000000001,10.0,HOLD
Pokémon Center Lady 123/132,,,,0.1,0.0,0,85,3.4615384615384617,3200.0,-99.0,-99.0,10.0,HOLD
Premium Power Pro 124/132,,,,0.24,0.0,0,640,29.173076923076923,3421.7616580310882,-97.6,-97.6,10.0,HOLD
Rare Candy 125/132,,,,0.19,0.0,0,90,2.423076923076923,2954.5454545454545,-98.10000000000001,-98.10000000000001,10.0,HOLD
Repel 126/132,,,,0.07,0.0,0,103,5.115384615384615,2773.3333333333326,-99.3,-99.3,10.0,HOLD
Risky Ruins 127/132,,,,0.17,0.0,0,281,11.461538461538462,3810.6870229007627,-98.3,-98.3,10.0,HOLD
